Reaction; dE; dG; LUMO(Ar+); LUMO(Ar-N2+); Ring Deviation Ar+; Ring Deviation (Ar-N2+); Angle C-N-N; Dist C-N; Dist N-N;
"Ph+(S) + N2 = Ph-N2+(S)"; -146.51; -82.64; -0.353450; -0.300120; 0.0000; 0.0000; 180; 1.3832; 1.1138;
"Ph+(T) + N2 = Ph-N2+(S)"; -226.20; -162.01; -0.410940; -0.300120; 0.0000; 0.0000; 180; 1.3832; 1.1138;
"2-NO2-Ph+(S) + N2 = 2-NO2-Ph-N2+(S)"; 61.41; 123.84; -0.358190; -0.319570; 0.0000; 0.0006; 170; 1.3922; 1.1118;
"2-NO2-Ph+(T) + N2 = 2-NO2-Ph-N2+(S)"; -236.66; -167.96; -0.423570; -0.319570; 0.0287; 0.0006; 170; 1.3922; 1.1118;
"3-NO2-Ph+(S) + N2 = 3-NO2-Ph-N2+(S)"; -154.35; -91.30; -0.372710; -0.318290; 0.0013; 0.0000; 180; 1.3873; 1.1129;
"3-NO2-Ph+(T) + N2 = 3-NO2-Ph-N2+(S)"; -235.16; -169.26; -0.425590; -0.318290; 0.0123; 0.0000; 180; 1.3873; 1.1129;
"4-NO2-Ph+(S) + N2 = 4-NO2-Ph-N2+(S)"; -158.28; -95.37; -0.375810; -0.324090; 0.0002; 0.0001; 180; 1.3887; 1.1126;
"4-NO2-Ph+(T) + N2 = 4-NO2-Ph-N2+(S)"; -226.48; -159.35; -0.422680; -0.324090; 0.0037; 0.0001; 180; 1.3887; 1.1126;
"4-CH3O-Ph+(S) + N2 = 4-CH3O-Ph-N2+(S)"; -180.96; -115.55; -0.341650; -0.274560; 0.2466; 0.0003; 180; 1.3636; 1.1193;
"4-CH3O-Ph+(T) + N2 = 4-CH3O-Ph-N2+(S)"; -165.01; -104.32; -0.361220; -0.274560; 0.0000; 0.0003; 180; 1.3636; 1.1193;
"2-HOOC-Ph+(S) + N2 = 2-HOOC-Ph-N2+(S)"; -166.04; -100.08; -0.354210; -0.299350; 0.0004; 0.0000; 171; 1.3952; 1.1117;
"2-HOOC-Ph+(T) + N2 = 2-HOOC-Ph-N2+(S)"; -239.00; -171.23; -0.404310; -0.299350; 0.0420; 0.0000; 171; 1.3952; 1.1117;
"4-HOOC-Ph+(S) + N2 = 4-HOOC-Ph-N2+(S)"; -148.67; -84.83; -0.357180; -0.308150; 0.0006; 0.0001; 180; 1.3844; 1.1136;
"4-HOOC-Ph+(T) + N2 = 4-HOOC-Ph-N2+(S)"; -219.71; -154.93; -0.402690; -0.308150; 0.0685; 0.0001; 180; 1.3844; 1.1136;
"4-Br-Ph+(S) + N2 = 4-Br-Ph-N2+(S)"; -165.99; -100.91; -0.358080; -0.297350; 0.0007; 0.0003; 180; 1.3747; 1.1162;
"4-Br-Ph+(T) + N2 = 4-Br-Ph-N2+(S)"; -186.02; -125.25; -0.391690; -0.297350; 0.0007; 0.0003; 180; 1.3747; 1.1162;
"2-HOOC-4-Br-Ph+(S) + N2 = 2-HOOC-4-Br-Ph-N2+(S)"; -183.66; -116.23; -0.358250; -0.297650; 0.0007; 0.0000; 172; 1.3860; 1.1134;
"2-HOOC-4-Br-Ph+(T) + N2 = 2-HOOC-4-Br-Ph-N2+(S)"; -201.87; -137.40; -0.394480; -0.297650; 0.0001; 0.0000; 172; 1.3860; 1.1134;
