Reaction; dE; dG; LUMO(S); LUMO(T); Ring Deviation (S); Ring Deviation (T);
"Ph+(S) = Ph+(T)"; 79.70; 79.37; -0.353450; -0.410940; 0.0000; 0.0000;
"2-NO2-Ph+(S) = 2-NO2-Ph+(T)"; 298.07; 291.80; -0.358190; -0.423570; 0.0000; 0.0287;
"3-NO2-Ph+(S) = 3-NO2-Ph+(T)"; 80.80; 77.97; -0.372710; -0.425590; 0.0013; 0.0123;
"4-NO2-Ph+(S) = 4-NO2-Ph+(T)"; 68.20; 63.99; -0.375810; -0.422680; 0.0002; 0.0037;
"4-CH3O-Ph+(S) = 4-CH3O-Ph+(T)"; -15.95; -11.23; -0.341650; -0.361220; 0.2466; 0.0000;
"2-HOOC-Ph+(S) = 2-HOOC-Ph+(T)"; 72.96; 71.15; -0.354210; -0.404310; 0.0004; 0.0420;
"4-HOOC-Ph+(S) = 4-HOOC-Ph+(T)"; 71.03; 70.10; -0.357180; -0.402690; 0.0006; 0.0685;
"4-Br-Ph+(S) = 4-Br-Ph+(T)"; 20.03; 24.35; -0.358080; -0.391690; 0.0007; 0.0007;
"2-HOOC-4-Br-Ph+(S) = 2-HOOC-4-Br-Ph+(T)"; 18.21; 21.17; -0.358250; -0.394480; 0.0007; 0.0001;
